source_file,year,election_type,prm_party,juris,state,office,dist,election_id
Alaska_20241105_StateSenateD,2024,general,NA,Alaska,AK,State Senate,D,AK_2024_G_Alaska_0D_State_Senate
Alaska_20241105_StateSenateF,2024,general,NA,Alaska,AK,State Senate,F,AK_2024_G_Alaska_0F_State_Senate
Alaska_20241105_StateSenateH,2024,general,NA,Alaska,AK,State Senate,H,AK_2024_G_Alaska_0H_State_Senate
Alaska_20241105_StateSenateJ,2024,general,NA,Alaska,AK,State Senate,J,AK_2024_G_Alaska_0J_State_Senate
Alaska_20241105_StateSenateL,2024,general,NA,Alaska,AK,State Senate,L,AK_2024_G_Alaska_0L_State_Senate
Alaska_20241105_StateSenateN,2024,general,NA,Alaska,AK,State Senate,N,AK_2024_G_Alaska_0N_State_Senate
Alaska_20241105_StateSenateP,2024,general,NA,Alaska,AK,State Senate,P,AK_2024_G_Alaska_0P_State_Senate
Alaska_20241105_StateSenateR,2024,general,NA,Alaska,AK,State Senate,R,AK_2024_G_Alaska_0R_State_Senate
Alaska_20241105_StateSenateT,2024,general,NA,Alaska,AK,State Senate,T,AK_2024_G_Alaska_0T_State_Senate
Alaska_20241105_US_House,2024,general,NA,Alaska,AK,U.S. House,At_Large,AK_2024_G_Alaska_At_Large_US_Representative
Berkeley_20101102_CityAuditor,2010,general,NA,Berkeley,CA,City Auditor,At_Large,CA_2010_G_Berkeley_At_Large_CityAuditor
Berkeley_20101102_CityCouncilDistrict1,2010,general,NA,Berkeley,CA,City Council,1,CA_2010_G_Berkeley_01_Council
Berkeley_20101102_CityCouncilDistrict4,2010,general,NA,Berkeley,CA,City Council,4,CA_2010_G_Berkeley_04_Council
Berkeley_20101102_CityCouncilDistrict7,2010,general,NA,Berkeley,CA,City Council,7,CA_2010_G_Berkeley_07_Council
Berkeley_20101102_CityCouncilDistrict8,2010,general,NA,Berkeley,CA,City Council,8,CA_2010_G_Berkeley_08_Council
Berkeley_20121106_CityCouncilDistrict2,2012,general,NA,Berkeley,CA,City Council,2,CA_2012_G_Berkeley_02_Council
Berkeley_20121106_CityCouncilDistrict3,2012,general,NA,Berkeley,CA,City Council,3,CA_2012_G_Berkeley_03_Council
Berkeley_20121106_CityCouncilDistrict5,2012,general,NA,Berkeley,CA,City Council,5,CA_2012_G_Berkeley_05_Council
Berkeley_20121106_CityCouncilDistrict6,2012,general,NA,Berkeley,CA,City Council,6,CA_2012_G_Berkeley_06_Council
Berkeley_20121106_Mayor,2012,general,NA,Berkeley,CA,Mayor,At_Large,CA_2012_G_Berkeley_At_Large_Mayor
Berkeley_20141104_CityAuditor,2014,general,NA,Berkeley,CA,City Auditor,At_Large,CA_2014_G_Berkeley_At_Large_CityAuditor
Berkeley_20141104_CityCouncilDistrict1,2014,general,NA,Berkeley,CA,City Council,1,CA_2014_G_Berkeley_01_Council
Berkeley_20141104_CityCouncilDistrict7,2014,general,NA,Berkeley,CA,City Council,7,CA_2014_G_Berkeley_07_Council
Berkeley_20141104_CityCouncilDistrict8,2014,general,NA,Berkeley,CA,City Council,8,CA_2014_G_Berkeley_08_Council
Berkeley_20161108_CityCouncilDistrict2,2016,general,NA,Berkeley,CA,City Council,2,CA_2016_G_Berkeley_02_Council
Berkeley_20161108_CityCouncilDistrict3,2016,general,NA,Berkeley,CA,City Council,3,CA_2016_G_Berkeley_03_Council
Berkeley_20161108_CityCouncilDistrict5,2016,general,NA,Berkeley,CA,City Council,5,CA_2016_G_Berkeley_05_Council
Berkeley_20161108_CityCouncilDistrict6,2016,general,NA,Berkeley,CA,City Council,6,CA_2016_G_Berkeley_06_Council
Berkeley_20161108_Mayor,2016,general,NA,Berkeley,CA,Mayor,At_Large,CA_2016_G_Berkeley_At_Large_Mayor
Berkeley_20170307_CityCouncilDistrict4,2017,general,NA,Berkeley,CA,City Council,4,CA_2017_G_Berkeley_04_Council
Berkeley_20181106_CityAuditor,2018,general,NA,Berkeley,CA,City Auditor,At_Large,CA_2018_G_Berkeley_At_Large_CityAuditor
Berkeley_20181106_CityCouncilDistrict1,2018,general,NA,Berkeley,CA,City Council,1,CA_2018_G_Berkeley_01_Council
